# Old WordPress addresses -> new pages. One line each: old path <TAB> new path (or 410 = gone for good) <TAB> note.
# Built 2026-09-18 from the old site's database backup (published pages, products, projects, categories).
# deploy-site.ps1 turns these into 301 redirects in .htaccess; edit a line here and upload to change one.
# Paths are written decoded (Georgian as is); Apache matches them against the decoded address.
/my-account/	/	My account
/shop/	/products.html	Shop
/portfolio/	/projects.html	Portfolio
/the-big-design-wall-likes-pictures/	410	The big design: Wall likes pictures -- theme demo content (English furniture posts and their tags), never Biomi's
/new-home-decor-from-john-doerson/	410	New home decor from John Doerson -- theme demo content (English furniture posts and their tags), never Biomi's
/minimalist-japanese-inspired-furniture/	410	Minimalist Japanese-inspired furniture -- theme demo content (English furniture posts and their tags), never Biomi's
/creative-water-features-and-exterior/	410	Creative water features and exterior -- theme demo content (English furniture posts and their tags), never Biomi's
/reinterprets-the-classic-bookshelf/	410	Reinterprets the classic bookshelf -- theme demo content (English furniture posts and their tags), never Biomi's
/collar-brings-back-coffee-brewing-ritual/	410	Collar brings back coffee brewing ritual -- theme demo content (English furniture posts and their tags), never Biomi's
/green-interior-design-inspiration/	410	Green interior design inspiration -- theme demo content (English furniture posts and their tags), never Biomi's
/exploring-atlantas-modern-homes/	410	Exploring Atlanta’s modern homes -- theme demo content (English furniture posts and their tags), never Biomi's
/portfolio/rhoncus-quisque-sollicitudin/	/projects/sdsu.html	სან-დიეგოს სახელმწიფო უნივერსიტეტი
/portfolio/a-lacus-bibendum-pulvinar/	/projects/chateau.html	შატო მეფის ქალაქი
/portfolio/leo-uteu-ullamcorper/	/projects/oro.html	რესტორანი ორო
/portfolio/venenatis-nam-phasellus/	/projects/culinary.html	კულინარიის აკადემია
/portfolio/imperdiet-mauris-a-nontin/	/projects/terminal.html	ტერმინალი - სამუშაო სივრე აქსის თაუერსში
/portfolio/et-vestibulum-quis-a-suspendisse/	/projects/pasha.html	პაშა ბანკის სათაო ოფისი
/portfolio/netus-eu-mollis-hac-dignis/	/projects/terminal.html	აქსის თაუერსი -- confirmed by the user 2026-09-18: old "Axis Towers" project; the new site has only the Terminal workspace inside it
/portfolio/suspendisse-quam-at-vestibulum/	/projects/agrarian.html	აგრარული უნივერსიტეტი
/home-digital-portfolio/	/	Home
/about-us/	/about.html	ჩვენ შესახებ
/contact-us/	/index.html#contact	Contact us
/სერვისი/	/index.html#services	სერვისი
/მომსახურება/	/index.html#services	მომსახურება
/პროდუქცია/	/products.html	პროდუქცია
/კონფიდენციალურობის-პოლი/	/privacy.html	კონფიდენციალურობის პოლიტიკა
/წესები-და-პირობები/	/privacy.html	წესები და პირობები -- confirmed by the user 2026-09-18: old "terms and conditions" page; the new site has no terms page
/პერსონალური-ინფორმაცია/	/consent.html	პერსონალური ინფორმაცია -- confirmed by the user 2026-09-18: old "personal information" page
/ბრენდები/	/products.html	ბრენდები -- confirmed by the user 2026-09-18: old "brands" page
/პარტნიორები/	/about.html	პარტნიორები -- confirmed by the user 2026-09-18: old "partners" page
/პროექტები/	/projects.html	პროექტები
/product/tiracamino-tc-10-m-2/	/products/vortice-roof.html	ბუხრის ვენტილატორი TTIRACAMINO TC 10 M
